日期,资金账号,昨日净值,今日净值,可用资金,今日手续费,平仓盈亏
2017-05-03,074553,952384.13,955357.957,951587.957,796.173,3770.0
2017-05-04,074553,955429.46,896688.69525,825618.69525,620.76475,-8620.0
